material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-543096,45,32,10.44527726,1.4617,4.805933979,-4.570495317,-0.542645354,5.66e-05,30.23073333,14.66666667,1122.133333,14.0,2.93,612.5333333,2.666666667
mp-1018043,140,42,16.46022255,0.0,6.79654673,-6.478430418,-0.064403572,2.0252918,67.37129875,30.0,3166.25,7.5,1.685,1519.9375,4.25
mp-2203,172,80,9.860993605,0.0,3.699194892,-7.048163699,-0.399800311,8.84e-05,21.96740714,9.857142857,4115.571429,11.57142857,1.922857143,2270.428571,2.428571429
mp-1077723,90,38,23.64442484,0.0,6.406627118,-8.528016873,0.019505087,1.15e-06,91.224,40.0,4682.0,4.0,1.33,2128.0,5.0
mp-11834,92,38,18.67066505,0.0,8.132513778,-4.679898145,-0.145925927,0.0002937,91.43985,39.75,2526.5,12.75,1.9775,1223.3325,4.5
mp-13117,206,28,10.8756385,0.0,5.9205391,-5.24047648,0.785405749,6.3e-06,38.77635,18.0,1638.68,13.0,2.47,710.41,3.0
mp-1025185,12,9,36.94056358,5.0298,2.874984481,-3.78431838,-2.52584018,1.17e-05,63.95727197,28.28571429,657.3485714,10.28571429,2.174285714,343.5114286,4.0
mp-980662,66,35,22.8331019,0.0,5.668976607,-5.007293673,-0.396851478,1.4e-06,77.9507843,33.5,2854.0,11.0,1.4225,1370.985,4.75
mp-6912,52,16,16.24895046,0.0,7.890576718,-7.272225488,0.20986111,3.76146435,77.21203,33.66666667,2176.0,9.666666667,1.716666667,1313.926667,4.333333333
mp-772245,191,80,11.7319883,0.0,9.875167726,-7.185656918,-1.648904768,2.9615165,69.769725,29.5,1805.6,12.0,2.705,1082.75,3.5
mp-7002,98,71,10.96948161,0.0,3.89251959,-7.221613358,-2.802564676,0.8115589,25.71389232,12.25,1224.1,9.25,2.3375,605.3675,2.75
mp-997034,77,33,17.13306492,0.0,5.642491827,-5.623499744,-2.000909302,3.7e-06,58.21795,25.25,1380.85,11.25,2.4175,616.8425,3.5
mp-754933,77,35,18.38573101,1.7154,8.732320121,-6.522740185,-2.63523201,0.0001705,96.685525,39.75,1000.6,13.25,2.4175,507.9,4.5
mp-864978,73,31,18.21760505,0.0,8.054143722,-2.772536705,-0.44398182,0.0004238,88.36119225,37.5,2072.5,6.5,1.7725,1104.565,4.25
mp-550172,172,86,12.58614489,0.8061,6.62786602,-6.281181158,-2.122556731,0.0,50.23626667,22.0,1018.466667,15.33333333,2.946666667,204.8933333,3.0
mp-2235,131,47,17.58451717,0.0,11.92520424,-6.010286055,-0.596003695,4.09e-05,126.2836667,53.33333333,3135.0,11.33333333,1.886666667,1857.0,6.0
mp-865172,179,70,16.59231462,0.0,13.91415359,-8.235682995,-0.25141094,1.1e-06,139.03197,57.75,4011.5,9.25,1.75,2400.25,6.0
mp-570832,161,69,19.20871703,0.0,15.31613155,-5.866475903,-0.538124315,8.5e-06,177.1733333,71.33333333,3690.833333,8.666666667,2.058333333,1876.166667,5.833333333
mp-12559,130,12,15.62323673,0.0,9.10608585,-6.286550538,-0.240911514,0.7470201,85.67491125,37.5,2423.25,10.5,2.0325,1566.275,4.5
mp-972827,166,75,10.96284377,0.0,8.635716733,-6.242261908,-1.837596872,7.41e-05,57.01282,24.2,1056.12,15.4,2.848,479.16,3.0
mp-22673,107,34,14.75252172,0.0,8.353279816,-4.94964626,0.077776774,0.1891298,74.21201125,33.0,2769.75,10.5,1.7825,1166.0725,4.25
mp-21366,103,49,18.1506794,0.0,9.52299503,-6.45472369,-0.589316602,0.0001797,104.092,44.4,3300.2,12.0,1.904,1746.76,5.2
mp-8771,194,139,10.1853565,0.0,8.757489159,-6.639169709,-0.596795223,0.0026139,53.71638182,23.27272727,3828.0,12.90909091,1.864545455,2102.545455,3.636363636
mp-8218,194,135,10.88986695,3.0384,6.583908482,-7.902592142,-3.656207857,0.0,43.17747772,19.2,1325.12,13.2,2.612,461.174,3.4
mp-5827,175,104,11.76797525,1.8283,3.836496697,-8.028474384,-3.508473486,0.0,27.18864,13.2,1117.52,10.8,2.572,644.08,2.8
mp-864982,4,2,46.4813915,3.0029,3.592237166,-4.231497789,-1.858375729,0.00117225,100.553,42.75,959.0,15.75,2.525,619.35,5.0
mp-21313,208,115,11.10245808,0.0,7.374984931,-8.058838774,-0.110747814,0.0005147,49.309567,22.4,2755.8,9.6,1.802,1731.982,3.6
mp-973471,143,112,12.22382096,0.0,7.425356329,-7.362808406,-2.11202735,7.79e-05,54.6607,23.6,1434.32,11.2,2.608,791.986,3.2
mp-865234,226,84,14.89982301,0.0,12.4958964,-8.26237792,-0.342108624,2.1e-05,112.12422,47.75,3939.25,8.25,1.8875,2299.17,5.0
mvc-4274,55,44,20.405163,0.0,6.536832034,-5.347261355,-1.225687764,2.4e-06,80.3264,33.0,672.4666667,15.66666667,2.966666667,218.0,3.333333333
mp-1076,137,107,10.77522172,0.0,2.288806452,-5.909249187,-0.026178633,8.2e-06,14.85204286,7.0,3747.428571,11.28571429,1.865714286,2061.504286,2.285714286
mp-4626,69,33,11.71219066,4.1712,2.838037898,-7.464305375,-2.678635231,1.76e-05,20.01738,10.0,1265.52,12.8,2.774,1015.88,2.4
mp-997009,72,25,18.93855606,1.1728,8.029159889,-5.2074507,-1.791229706,5.08e-05,91.57309225,37.75,1363.1,11.25,2.5775,611.7325,4.0
mp-20457,2,49,21.2271038,0.0,5.70244803,-4.053393805,0.027432537,6e-06,72.895881,32.0,1447.5,14.0,1.985,373.525,4.0
mp-12520,72,32,19.39424913,0.0,5.943042029,-4.884362086,-0.416647253,8.45e-06,69.4117,31.5,2780.0,9.0,1.695,1429.35,4.25
mp-9211,136,86,14.93910856,0.0,8.221256291,-7.269247014,-0.704643466,0.0,73.96287429,32.0,3051.428571,12.57142857,1.787142857,2061.714286,4.571428571
mp-4030,21,7,26.53118393,1.4508,6.150664787,-4.790606222,-1.00602558,0.0,98.27195556,41.33333333,1898.608889,10.66666667,2.088888889,922.5066667,4.444444444
mp-971909,151,16,15.15723879,0.0,10.53552531,-4.51271992,-0.307549609,0.00471465,96.16725,42.0,2722.0,10.5,2.0625,1544.2075,4.75
mp-974457,227,81,15.76087676,0.0,11.32903137,-6.449513588,0.887515661,0.0001274,107.5286175,46.25,3431.6,10.25,2.315,2051.9625,5.0
mp-976408,17,6,17.19305566,0.0,3.107312131,-2.299176293,-0.16026302,0.0024206,32.1728,14.0,1820.0,3.5,1.2175,649.0,2.75
mp-20281,146,73,18.08823388,0.0,11.71403282,-7.355623718,-1.057411292,6.1e-06,127.6008333,52.33333333,3571.333333,11.66666667,1.773333333,2035.333333,5.666666667
mp-973267,112,92,12.17320866,0.0,5.049777311,-6.83966296,-2.005957972,0.000905,37.0193,17.2,1168.12,11.2,2.608,586.186,3.0
