material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-1921,82,51,28.56816808,0.0,10.45207094,-6.37921028,-1.102451705,0.0001931,179.81903,71.0,3177.0,10.0,1.7,1418.83,7.0
mp-5020,97,42,13.59406134,2.5441,5.696969318,-8.0111959,-3.506908946,5.16e-05,46.63844,20.4,1194.72,10.8,2.55,621.08,3.2
mp-17383,168,44,11.88992559,0.0,8.846338514,-5.697321628,-0.30235686,2.25e-07,63.34226667,29.33333333,3155.0,11.33333333,1.943333333,1555.8,4.0
mp-8137,99,39,16.07878922,0.0,9.813354279,-9.576246933,-2.696742885,3.00000005,95.02146667,39.0,1693.69,13.0,2.46,451.0533333,4.666666667
mp-861888,82,5,24.29039351,0.0,12.69873989,-4.671386535,-0.576337254,0.7664683,185.7573845,74.75,2932.0,10.25,2.055,1071.765,6.5
mp-755568,97,43,12.50497882,3.0525,8.67655626,-5.853814818,-1.926776392,5.29e-05,65.34032,27.6,916.92,15.2,2.83,202.342,3.2
mp-20265,78,27,18.14800615,0.0,9.87422443,-3.860429728,-0.493300172,5.05e-05,107.91525,44.75,2600.75,9.25,1.705,838.6475,4.5
mp-2251,52,34,11.22064105,0.984,1.28860901,-3.879750775,-0.460653241,0.0,8.707425,4.0,1230.59,4.5,1.495,356.03,2.0
mp-452,116,83,17.67818015,0.0,6.662048814,-5.569703079,-0.298651578,0.0009736,70.92449875,31.5,1465.25,13.5,2.105,1259.5,4.0
mp-510417,63,48,14.41935662,1.7027,6.674645618,-7.51051731,-2.183432341,1.25e-08,57.95955,24.5,1524.65,13.5,3.17,964.85,3.0
mp-1009657,91,43,13.05148453,0.0,2.88775395,-6.72625882,-0.756889567,7.92e-05,22.69713333,11.33333333,637.24,10.66666667,2.36,413.7,2.666666667
mp-866051,179,107,14.99134174,0.021,11.32283253,-7.96516678,-0.244335635,1e-07,102.2225,43.5,3504.75,8.5,1.73,1658.27,4.75
